Measure,Group,Mean,SD,CI_Lower,CI_Upper,Day
C/T-unit,IW,1.09,0.16,1.02,1.15,Day 1
CoordC/T-unit,IW,0.49,0.33,0.36,0.62,Day 1
MLC,IW,6.11,2.74,5.0,7.21,Day 1
GI,IW,5.02,1.32,4.49,5.56,Day 1
GramErr100,IW,14.97,7.09,12.1,17.83,Day 1
GramErrFreeC,IW,27.85,25.72,17.46,38.24,Day 1
SpellErr100,IW,10.94,8.43,7.53,14.34,Day 1
Borrow100,IW,2.19,5.33,0.03,4.34,Day 1
IUs,IW,5.73,3.58,4.28,7.18,Day 1
C/T-unit,CW,1.05,0.08,1.0,1.1,Day 1
CoordC/T-unit,CW,0.57,0.31,0.39,0.74,Day 1
MLC,CW,5.85,1.07,5.23,6.46,Day 1
GI,CW,5.68,0.86,5.18,6.17,Day 1
GramErr100,CW,16.72,7.0,12.67,20.76,Day 1
GramErrFreeC,CW,25.19,20.11,13.59,36.8,Day 1
SpellErr100,CW,9.28,5.17,6.29,12.26,Day 1
Borrow100,CW,0.47,1.22,-0.24,1.18,Day 1
IUs,CW,7.71,2.2,6.44,8.98,Day 1
C/T-unit,FFI+CW,1.04,0.09,0.99,1.09,Day 1
CoordC/T-unit,FFI+CW,0.63,0.29,0.47,0.79,Day 1
MLC,FFI+CW,5.05,0.76,4.63,5.47,Day 1
GI,FFI+CW,5.21,1.1,4.61,5.82,Day 1
GramErr100,FFI+CW,17.59,9.73,12.2,22.98,Day 1
GramErrFreeC,FFI+CW,31.83,28.51,16.04,47.62,Day 1
SpellErr100,FFI+CW,12.93,5.14,10.09,15.78,Day 1
Borrow100,FFI+CW,2.47,7.01,-1.41,6.35,Day 1
IUs,FFI+CW,5.4,3.09,3.69,7.11,Day 1
C/T-unit,IW,1.04,0.09,1.0,1.08,Day 2
CoordC/T-unit,IW,0.33,0.27,0.22,0.44,Day 2
MLC,IW,5.56,0.88,5.2,5.91,Day 2
GI,IW,5.37,1.09,4.93,5.81,Day 2
GramErr100,IW,15.14,6.8,12.39,17.89,Day 2
GramErrFreeC,IW,27.0,23.75,17.41,36.6,Day 2
SpellErr100,IW,7.98,8.15,4.68,11.27,Day 2
Borrow100,IW,1.33,2.6,0.28,2.38,Day 2
IUs,IW,5.15,3.43,3.77,6.54,Day 2
C/T-unit,CW,1.03,0.05,1.0,1.06,Day 2
CoordC/T-unit,CW,0.48,0.25,0.33,0.63,Day 2
MLC,CW,5.75,1.22,5.04,6.45,Day 2
GI,CW,5.85,0.75,5.42,6.29,Day 2
GramErr100,CW,11.98,6.15,8.43,15.53,Day 2
GramErrFreeC,CW,43.69,21.81,31.09,56.28,Day 2
SpellErr100,CW,7.93,7.65,3.52,12.35,Day 2
Borrow100,CW,0.88,1.61,-0.05,1.81,Day 2
IUs,CW,7.21,2.49,5.78,8.65,Day 2
C/T-unit,FFI+CW,1.02,0.05,0.99,1.05,Day 2
CoordC/T-unit,FFI+CW,0.52,0.27,0.37,0.67,Day 2
MLC,FFI+CW,5.39,1.25,4.69,6.08,Day 2
GI,FFI+CW,5.16,1.12,4.53,5.78,Day 2
GramErr100,FFI+CW,13.74,8.84,8.84,18.63,Day 2
GramErrFreeC,FFI+CW,36.4,29.84,19.88,52.93,Day 2
SpellErr100,FFI+CW,14.52,11.22,8.3,20.74,Day 2
Borrow100,FFI+CW,2.92,7.47,-1.21,7.06,Day 2
IUs,FFI+CW,5.93,2.58,4.51,7.36,Day 2
